speaker	stance	indefArt	defArt	questionmark	comma	exclamationmark	period	ipron	ppron	firstPPron	secondPPron	thirdPPron	singPPron	plurPPron	pronoun	conj	function_word	prep	nonflu	filler	swear	tentat	differ	discrep	certain	auxverb	longWds	totWds
Blankfein	0	0	0.09090909090909091	0	0.045454545454545456	0	0.045454545454545456	0	0.18181818181818182	0.09090909090909091	0	0	0	0.09090909090909091	0.18181818181818182	0.13636363636363635	0.45454545454545453	0.13636363636363635	0	0	0	0.045454545454545456	0	0	0	0.045454545454545456	0.45454545454545453	22
Blankfein	1	0	0	0	0	0	0.09090909090909091	0.09090909090909091	0	0	0	0	0	0	0.09090909090909091	0.09090909090909091	0.36363636363636365	0.09090909090909091	0	0	0	0	0.09090909090909091	0	0.09090909090909091	0.09090909090909091	0.45454545454545453	11
Blankfein	0	0	0.05263157894736842	0	0.10526315789473684	0	0	0.05263157894736842	0.15789473684210525	0.10526315789473684	0	0	0.05263157894736842	0.05263157894736842	0.21052631578947367	0.05263157894736842	0.47368421052631576	0.15789473684210525	0	0	0	0.10526315789473684	0.10526315789473684	0	0.05263157894736842	0.15789473684210525	0.42105263157894735	19
Blankfein	0	0	0.07692307692307693	0	0	0	0.07692307692307693	0	0.07692307692307693	0	0	0	0	0	0.07692307692307693	0.15384615384615385	0.38461538461538464	0.15384615384615385	0	0	0	0	0	0	0	0	0.38461538461538464	13
Blankfein	0	0.045454545454545456	0.13636363636363635	0	0.045454545454545456	0	0.045454545454545456	0	0.22727272727272727	0.09090909090909091	0	0	0	0.09090909090909091	0.22727272727272727	0.09090909090909091	0.6363636363636364	0.2727272727272727	0	0	0	0.09090909090909091	0.045454545454545456	0	0.045454545454545456	0.09090909090909091	0.22727272727272727	22
Blankfein	0	0	0	0	0.14285714285714285	0	0	0.14285714285714285	0.07142857142857142	0.07142857142857142	0	0	0	0.07142857142857142	0.21428571428571427	0.14285714285714285	0.5	0.07142857142857142	0	0	0	0	0.07142857142857142	0	0	0.21428571428571427	0.2857142857142857	14
Blankfein	1	0	0.1111111111111111	0	0.05555555555555555	0	0	0.05555555555555555	0.1111111111111111	0	0	0	0	0	0.16666666666666666	0.05555555555555555	0.5555555555555556	0.05555555555555555	0	0	0	0	0.1111111111111111	0	0	0.2222222222222222	0.16666666666666666	18
Blankfein	1	0	0	0	0	0	0.14285714285714285	0.14285714285714285	0	0	0	0	0	0	0.14285714285714285	0	0.5714285714285714	0	0	0	0	0	0	0	0	0.42857142857142855	0.2857142857142857	7
Blankfein	1	0	0.09090909090909091	0	0	0	0.045454545454545456	0.09090909090909091	0.13636363636363635	0	0.045454545454545456	0.045454545454545456	0	0.045454545454545456	0.22727272727272727	0.045454545454545456	0.4090909090909091	0.09090909090909091	0	0	0	0.09090909090909091	0.045454545454545456	0	0	0.13636363636363635	0.45454545454545453	22
Blankfein	1	0	0.06666666666666667	0	0	0	0	0.13333333333333333	0.06666666666666667	0	0	0	0	0	0.2	0.13333333333333333	0.5333333333333333	0	0	0	0	0.13333333333333333	0.13333333333333333	0.13333333333333333	0.13333333333333333	0.3333333333333333	0.26666666666666666	15
Blankfein	1	0	0.2857142857142857	0	0	0	0.14285714285714285	0	0.2857142857142857	0	0	0	0	0	0.2857142857142857	0	0.42857142857142855	0.14285714285714285	0	0	0	0.14285714285714285	0	0	0	0	0.42857142857142855	7
Blankfein	1	0.0625	0	0	0.0625	0	0	0	0.0625	0	0.0625	0.0625	0	0.0625	0.0625	0.125	0.375	0.0625	0	0	0	0	0.0625	0	0.0625	0.0625	0.375	16
Blankfein	1	0	0.1	0	0	0	0.05	0	0.2	0.05	0.05	0.05	0	0.1	0.2	0.15	0.6	0.25	0.05	0	0	0	0	0.05	0	0.05	0.25	20
Blankfein	0	0	0	0	0.16666666666666666	0	0	0.08333333333333333	0	0	0	0	0	0	0.08333333333333333	0	0.3333333333333333	0.08333333333333333	0.08333333333333333	0	0	0	0.08333333333333333	0	0.08333333333333333	0.16666666666666666	0.25	12
Blankfein	0	0	0	0	0	0	0	0.2727272727272727	0	0	0	0	0	0	0.2727272727272727	0	0.45454545454545453	0.09090909090909091	0	0	0	0	0.09090909090909091	0	0.09090909090909091	0.36363636363636365	0.36363636363636365	11
Blankfein	0	0.1111111111111111	0	0	0	0	0.1111111111111111	0	0	0	0	0	0	0	0	0.1111111111111111	0.3333333333333333	0.1111111111111111	0	0	0	0	0	0	0	0	0.5555555555555556	9
