"speaker"	"task"	"stance"	"o"	"s"	"c"	"a"	"d"	"r"	"f"	"t"	"e"	"i"	"x"	"b"	"period"	"comma"	"questionmark"	"exclamationmark"	"pronoun"	"ipron"	"ppron"	"singPPron"	"plurPPron"	"1stPPron"	"2ndPPron"	"3rdPPron"	"defArt"	"indefArt"	"function"	"prep"	"conj"	"filler"	"nonflu"	"swear"	"tentat"	"differ"	"discrep"	"certain"
"92"	"NWF089"	"3I"	"2"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"93"	"NWF089"	"3I"	"1"	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
"94"	"NWF089"	"3I"	"1"	1	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0
"95"	"NWF089"	"3I"	"2"	1	1	0	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	1
"96"	"NWF089"	"3I"	"1"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"97"	"NWF089"	"3I"	"2"	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"98"	"NWF089"	"3I"	"1"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
"99"	"NWF089"	"3I"	"2"	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"100"	"NWF089"	"3I"	"1"	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0
"101"	"NWF089"	"3I"	"1"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"102"	"NWF089"	"3I"	"1"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"103"	"NWF089"	"3I"	"2"	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0
"105"	"NWF089"	"3I"	"2"	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	1	0	0
"106"	"NWF089"	"3I"	"2"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"107"	"NWF089"	"3I"	"1"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
"108"	"NWF089"	"3I"	"1"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
"109"	"NWF089"	"3I"	"1"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	0
"110"	"NWF089"	"3I"	"1"	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0
"111"	"NWF089"	"3I"	"2"	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
"112"	"NWF089"	"3I"	"1"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"113"	"NWF089"	"3I"	"1"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"115"	"NWF089"	"3I"	"1"	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"116"	"NWF089"	"3I"	"1"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
"117"	"NWF089"	"3I"	"1"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"118"	"NWF089"	"3I"	"1"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"119"	"NWF089"	"3I"	"1"	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
"120"	"NWF089"	"3I"	"1"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
"121"	"NWF089"	"3I"	"1"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"123"	"NWF089"	"3I"	"1"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0
"124"	"NWF089"	"3I"	"2"	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"125"	"NWF089"	"3I"	"1"	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"126"	"NWF089"	"3I"	"2"	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	1	1	0
"127"	"NWF089"	"3I"	"1"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"128"	"NWF089"	"3I"	"1"	1	1	0	1	0	0	0	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
"131"	"NWF089"	"3I"	"2"	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
"132"	"NWF089"	"3I"	"2"	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0
"133"	"NWM053"	"3I"	"1"	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0
"134"	"NWM053"	"3I"	"1"	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"135"	"NWM053"	"3I"	"1"	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0
"137"	"NWM053"	"3I"	"1"	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0
"138"	"NWM053"	"3I"	"1"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
