speaker	task	stance	indefArt	defArt	questionmark	comma	exclamationmark	period	ipron	ppron	firstPPron	secondPPron	thirdPPron	singPPron	plurPPron	pronoun	conj	function_word	prep	nonflu	filler	swear	tentat	differ	discrep	certain	auxverb
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	1	0	0	0	0	0	2	1	1	1	0	0	1	0	2	0	6	2	0	0	0	1	0	1	0	3
NWF089	3I	1	0	0	0	0	0	1	1	1	1	0	0	1	0	2	0	4	0	0	0	0	0	0	1	0	3
NWF089	3I	1	0	0	0	1	0	1	0	1	1	0	0	1	0	1	0	3	0	0	0	0	0	0	1	0	2
NWF089	3I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NWF089	3I	1	0	0	1	0	0	0	2	1	1	0	0	1	0	3	1	6	0	0	0	0	1	2	1	1	4
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	2	0	0	0	6	0	0	4	4	2	2	0	4	0	8	3	18	3	2	0	0	5	3	2	1	9
NWF089	3I	1	1	0	0	3	0	0	0	2	2	0	0	0	2	2	0	7	0	3	0	0	0	2	2	0	6
NWF089	3I	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NWF089	3I	2	0	0	1	3	0	2	1	1	0	1	0	1	0	2	1	8	3	2	0	0	2	0	1	0	4
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	1
NWF089	3I	1	0	0	1	0	0	0	1	1	0	1	0	1	0	2	0	3	0	0	0	0	0	1	0	0	3
NWF089	3I	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	2
NWF089	3I	1	0	0	1	1	0	3	2	0	0	0	0	0	0	2	0	5	1	1	0	0	1	2	0	1	3
NWF089	3I	2	1	0	1	2	1	4	5	3	3	0	0	1	2	8	0	16	1	1	0	0	1	0	1	4	10
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	1	0	0	0	0	0	2	0	1	1	0	0	1	0	1	0	3	0	0	0	0	0	3	0	1	2
NWF089	3I	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NWF089	3I	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	5	1	1	0	0	1	0	0	0	2
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	2	0	0	0	3	0	1	0	1	1	0	0	1	0	1	2	5	1	1	0	0	3	2	0	0	1
NWF089	3I	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NWF089	3I	2	0	0	0	1	0	2	1	2	2	0	0	1	1	3	1	9	2	1	0	0	1	3	1	1	6
NWF089	3I	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NWF089	3I	1	0	0	0	1	0	2	2	1	1	0	0	1	0	3	0	4	0	1	0	0	0	0	1	0	4
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1
NWF089	3I	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	3	1	0	0	0	1	1	0	0	0
NWF089	3I	1	0	2	1	1	0	0	0	3	1	0	0	0	1	3	0	4	1	1	0	0	0	0	0	0	1
NWF089	3I	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
NWF089	3I	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NWF089	3I	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	3	0	1	0	0	0	0	0	1	3
NWF089	3I	1	0	0	0	1	0	1	0	1	1	0	0	0	1	1	0	2	0	2	0	0	0	1	0	0	2
NWF089	3I	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	2	0	1	0	0	0	1	0	0	2
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NWF089	3I	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
NWF089	3I	1	0	0	0	1	0	0	0	1	1	0	0	1	0	1	2	4	0	1	0	0	0	0	0	0	2
