backpack	6.893223960846487e-05	9	['2', '1', '0']
executive	7.659137734273875e-06	1	['2']
ech	7.659137734273875e-06	1	['2']
count	4.595482640564325e-05	6	['2', '1', '0']
veteran	0.00011488706601410813	15	['2', '0', '1']
red	1.531827546854775e-05	2	['3', '0']
love	4.595482640564325e-05	6	['3', '2']
walkers	7.659137734273875e-06	1	['1']
institution	7.659137734273875e-06	1	['1']
worry	2.2977413202821626e-05	3	['2', '1']
similar	4.595482640564325e-05	6	['2', '1']
righthand	1.531827546854775e-05	2	['2', '1']
couple	9.19096528112865e-05	12	['2', '1', '0']
nearest	7.659137734273875e-06	1	['1']
questionable	7.659137734273875e-06	1	['1']
flags	0.0002527515452310379	33	['2', '1', '0']
adopted	2.2977413202821626e-05	3	['2']
weird	0.00016850103015402526	22	['2', '0', '1']
reads	7.659137734273875e-06	1	['2']
nah	6.1273101874191e-05	8	['3', '2', '0']
until	6.1273101874191e-05	8	['2', '1']
-there	7.659137734273875e-06	1	['2']
entirely	7.659137734273875e-06	1	['1']
emily	7.659137734273875e-06	1	['0']
vanilla	7.659137734273875e-06	1	['2']
overcrowded	7.659137734273875e-06	1	['2']
few	0.00016084189241975138	21	['3', '2', '0', '1']
's	0.017853450058592405	2331	['3', '2', '1', '0']
clothes	0.00045188912632215865	59	['2', '1', '0']
rural	1.531827546854775e-05	2	['2', '1']
education	0.0011182341092039858	146	['3', '2', '0', '1']
high	0.00016084189241975138	21	['2', '0', '1']
full	4.595482640564325e-05	6	['2', '1']
assuming	0.00010722792827983426	14	['2', '1', '0']
five	0.0004672074017907064	61	['2', '0', '1']
privacy	7.659137734273875e-06	1	['2']
section	0.0006510267074132794	85	['3', '2', '1', '0']
trip	1.531827546854775e-05	2	['1', '0']
wanting	1.531827546854775e-05	2	['2', '1']
tend	3.06365509370955e-05	4	['2', '1']
okay	0.01041642731861247	1360	['3', '2', '1', '0']
rent	7.659137734273875e-06	1	['2']
traps	0.00020679671882539464	27	['2', '1', '0']
shift	7.659137734273875e-06	1	['1']
course	0.000122546203748382	16	['3', '2', '1']
allowed	3.06365509370955e-05	4	['2', '0', '1']
calories	7.659137734273875e-06	1	['3']
tested	7.659137734273875e-06	1	['0']
book	8.425051507701263e-05	11	['2', '0', '1']
classifieds	7.659137734273875e-06	1	['0']
peet	7.659137734273875e-06	1	['1']
pop	7.659137734273875e-06	1	['1']
